txn_id	direction	argument	bundle	start_index	end_index	byte_addr	beats	axlen	elements_per_beat	issue_order	complete_order	depends_on	dependency_details	timeline_lane
txn_a_read_35	read	a	gmem_a	32	47	128	1	0	16	770	771			a
txn_b_read_35	read	b	gmem_b	3	243	0	16	15	16	770	786			b
txn_c_write_35	write	c	gmem_c	35	35	140	1	0	1	791	792	txn_a_read_35,txn_b_read_35	txn_a_read_35:llvm_def_use:ssa_value,txn_b_read_35:llvm_def_use:ssa_value	c
txn_a_read_36	read	a	gmem_a	32	47	128	1	0	16	792	793			a
txn_b_read_36	read	b	gmem_b	4	244	0	16	15	16	792	808			b
txn_c_write_36	write	c	gmem_c	36	36	144	1	0	1	813	814	txn_a_read_36,txn_b_read_36	txn_a_read_36:llvm_def_use:ssa_value,txn_b_read_36:llvm_def_use:ssa_value	c
txn_a_read_37	read	a	gmem_a	32	47	128	1	0	16	814	815			a
txn_b_read_37	read	b	gmem_b	5	245	0	16	15	16	814	830			b
txn_c_write_37	write	c	gmem_c	37	37	148	1	0	1	835	836	txn_a_read_37,txn_b_read_37	txn_a_read_37:llvm_def_use:ssa_value,txn_b_read_37:llvm_def_use:ssa_value	c
txn_a_read_38	read	a	gmem_a	32	47	128	1	0	16	836	837			a
txn_b_read_38	read	b	gmem_b	6	246	0	16	15	16	836	852			b
txn_c_write_38	write	c	gmem_c	38	38	152	1	0	1	857	858	txn_a_read_38,txn_b_read_38	txn_a_read_38:llvm_def_use:ssa_value,txn_b_read_38:llvm_def_use:ssa_value	c
txn_a_read_39	read	a	gmem_a	32	47	128	1	0	16	858	859			a
txn_b_read_39	read	b	gmem_b	7	247	0	16	15	16	858	874			b
txn_c_write_39	write	c	gmem_c	39	39	156	1	0	1	879	880	txn_a_read_39,txn_b_read_39	txn_a_read_39:llvm_def_use:ssa_value,txn_b_read_39:llvm_def_use:ssa_value	c
txn_a_read_40	read	a	gmem_a	32	47	128	1	0	16	880	881			a
txn_b_read_40	read	b	gmem_b	8	248	0	16	15	16	880	896			b
txn_c_write_40	write	c	gmem_c	40	40	160	1	0	1	901	902	txn_a_read_40,txn_b_read_40	txn_a_read_40:llvm_def_use:ssa_value,txn_b_read_40:llvm_def_use:ssa_value	c
txn_a_read_41	read	a	gmem_a	32	47	128	1	0	16	902	903			a
txn_b_read_41	read	b	gmem_b	9	249	0	16	15	16	902	918			b
txn_c_write_41	write	c	gmem_c	41	41	164	1	0	1	923	924	txn_a_read_41,txn_b_read_41	txn_a_read_41:llvm_def_use:ssa_value,txn_b_read_41:llvm_def_use:ssa_value	c
txn_a_read_42	read	a	gmem_a	32	47	128	1	0	16	924	925			a
txn_b_read_42	read	b	gmem_b	10	250	0	16	15	16	924	940			b
txn_c_write_42	write	c	gmem_c	42	42	168	1	0	1	945	946	txn_a_read_42,txn_b_read_42	txn_a_read_42:llvm_def_use:ssa_value,txn_b_read_42:llvm_def_use:ssa_value	c
txn_a_read_43	read	a	gmem_a	32	47	128	1	0	16	946	947			a
txn_b_read_43	read	b	gmem_b	11	251	0	16	15	16	946	962			b
txn_c_write_43	write	c	gmem_c	43	43	172	1	0	1	967	968	txn_a_read_43,txn_b_read_43	txn_a_read_43:llvm_def_use:ssa_value,txn_b_read_43:llvm_def_use:ssa_value	c
txn_a_read_44	read	a	gmem_a	32	47	128	1	0	16	968	969			a
txn_b_read_44	read	b	gmem_b	12	252	0	16	15	16	968	984			b
txn_c_write_44	write	c	gmem_c	44	44	176	1	0	1	989	990	txn_a_read_44,txn_b_read_44	txn_a_read_44:llvm_def_use:ssa_value,txn_b_read_44:llvm_def_use:ssa_value	c
txn_a_read_45	read	a	gmem_a	32	47	128	1	0	16	990	991			a
txn_b_read_45	read	b	gmem_b	13	253	0	16	15	16	990	1006			b
txn_c_write_45	write	c	gmem_c	45	45	180	1	0	1	1011	1012	txn_a_read_45,txn_b_read_45	txn_a_read_45:llvm_def_use:ssa_value,txn_b_read_45:llvm_def_use:ssa_value	c
txn_a_read_46	read	a	gmem_a	32	47	128	1	0	16	1012	1013			a
txn_b_read_46	read	b	gmem_b	14	254	0	16	15	16	1012	1028			b
txn_c_write_46	write	c	gmem_c	46	46	184	1	0	1	1033	1034	txn_a_read_46,txn_b_read_46	txn_a_read_46:llvm_def_use:ssa_value,txn_b_read_46:llvm_def_use:ssa_value	c
txn_a_read_47	read	a	gmem_a	32	47	128	1	0	16	1034	1035			a
txn_b_read_47	read	b	gmem_b	15	255	0	16	15	16	1034	1050			b
txn_c_write_47	write	c	gmem_c	47	47	188	1	0	1	1055	1056	txn_a_read_47,txn_b_read_47	txn_a_read_47:llvm_def_use:ssa_value,txn_b_read_47:llvm_def_use:ssa_value	c
txn_a_read_48	read	a	gmem_a	48	63	192	1	0	16	1056	1057			a
txn_b_read_48	read	b	gmem_b	0	240	0	16	15	16	1056	1072			b
txn_c_write_48	write	c	gmem_c	48	48	192	1	0	1	1077	1078	txn_a_read_48,txn_b_read_48	txn_a_read_48:llvm_def_use:ssa_value,txn_b_read_48:llvm_def_use:ssa_value	c
txn_a_read_49	read	a	gmem_a	48	63	192	1	0	16	1078	1079			a
txn_b_read_49	read	b	gmem_b	1	241	0	16	15	16	1078	1094			b
txn_c_write_49	write	c	gmem_c	49	49	196	1	0	1	1099	1100	txn_a_read_49,txn_b_read_49	txn_a_read_49:llvm_def_use:ssa_value,txn_b_read_49:llvm_def_use:ssa_value	c
txn_a_read_50	read	a	gmem_a	48	63	192	1	0	16	1100	1101			a
txn_b_read_50	read	b	gmem_b	2	242	0	16	15	16	1100	1116			b
txn_c_write_50	write	c	gmem_c	50	50	200	1	0	1	1121	1122	txn_a_read_50,txn_b_read_50	txn_a_read_50:llvm_def_use:ssa_value,txn_b_read_50:llvm_def_use:ssa_value	c
txn_a_read_51	read	a	gmem_a	48	63	192	1	0	16	1122	1123			a
txn_b_read_51	read	b	gmem_b	3	243	0	16	15	16	1122	1138			b
txn_c_write_51	write	c	gmem_c	51	51	204	1	0	1	1143	1144	txn_a_read_51,txn_b_read_51	txn_a_read_51:llvm_def_use:ssa_value,txn_b_read_51:llvm_def_use:ssa_value	c
txn_a_read_52	read	a	gmem_a	48	63	192	1	0	16	1144	1145			a
txn_b_read_52	read	b	gmem_b	4	244	0	16	15	16	1144	1160			b
txn_c_write_52	write	c	gmem_c	52	52	208	1	0	1	1165	1166	txn_a_read_52,txn_b_read_52	txn_a_read_52:llvm_def_use:ssa_value,txn_b_read_52:llvm_def_use:ssa_value	c
txn_a_read_53	read	a	gmem_a	48	63	192	1	0	16	1166	1167			a
txn_b_read_53	read	b	gmem_b	5	245	0	16	15	16	1166	1182			b
txn_c_write_53	write	c	gmem_c	53	53	212	1	0	1	1187	1188	txn_a_read_53,txn_b_read_53	txn_a_read_53:llvm_def_use:ssa_value,txn_b_read_53:llvm_def_use:ssa_value	c
txn_a_read_54	read	a	gmem_a	48	63	192	1	0	16	1188	1189			a
txn_b_read_54	read	b	gmem_b	6	246	0	16	15	16	1188	1204			b
txn_c_write_54	write	c	gmem_c	54	54	216	1	0	1	1209	1210	txn_a_read_54,txn_b_read_54	txn_a_read_54:llvm_def_use:ssa_value,txn_b_read_54:llvm_def_use:ssa_value	c
txn_a_read_55	read	a	gmem_a	48	63	192	1	0	16	1210	1211			a
txn_b_read_55	read	b	gmem_b	7	247	0	16	15	16	1210	1226			b
txn_c_write_55	write	c	gmem_c	55	55	220	1	0	1	1231	1232	txn_a_read_55,txn_b_read_55	txn_a_read_55:llvm_def_use:ssa_value,txn_b_read_55:llvm_def_use:ssa_value	c
txn_a_read_56	read	a	gmem_a	48	63	192	1	0	16	1232	1233			a
txn_b_read_56	read	b	gmem_b	8	248	0	16	15	16	1232	1248			b
txn_c_write_56	write	c	gmem_c	56	56	224	1	0	1	1253	1254	txn_a_read_56,txn_b_read_56	txn_a_read_56:llvm_def_use:ssa_value,txn_b_read_56:llvm_def_use:ssa_value	c
txn_a_read_57	read	a	gmem_a	48	63	192	1	0	16	1254	1255			a
txn_b_read_57	read	b	gmem_b	9	249	0	16	15	16	1254	1270			b
txn_c_write_57	write	c	gmem_c	57	57	228	1	0	1	1275	1276	txn_a_read_57,txn_b_read_57	txn_a_read_57:llvm_def_use:ssa_value,txn_b_read_57:llvm_def_use:ssa_value	c
txn_a_read_58	read	a	gmem_a	48	63	192	1	0	16	1276	1277			a
txn_b_read_58	read	b	gmem_b	10	250	0	16	15	16	1276	1292			b
txn_c_write_58	write	c	gmem_c	58	58	232	1	0	1	1297	1298	txn_a_read_58,txn_b_read_58	txn_a_read_58:llvm_def_use:ssa_value,txn_b_read_58:llvm_def_use:ssa_value	c
txn_a_read_59	read	a	gmem_a	48	63	192	1	0	16	1298	1299			a
txn_b_read_59	read	b	gmem_b	11	251	0	16	15	16	1298	1314			b
txn_c_write_59	write	c	gmem_c	59	59	236	1	0	1	1319	1320	txn_a_read_59,txn_b_read_59	txn_a_read_59:llvm_def_use:ssa_value,txn_b_read_59:llvm_def_use:ssa_value	c
txn_a_read_60	read	a	gmem_a	48	63	192	1	0	16	1320	1321			a
txn_b_read_60	read	b	gmem_b	12	252	0	16	15	16	1320	1336			b
txn_c_write_60	write	c	gmem_c	60	60	240	1	0	1	1341	1342	txn_a_read_60,txn_b_read_60	txn_a_read_60:llvm_def_use:ssa_value,txn_b_read_60:llvm_def_use:ssa_value	c
txn_a_read_61	read	a	gmem_a	48	63	192	1	0	16	1342	1343			a
txn_b_read_61	read	b	gmem_b	13	253	0	16	15	16	1342	1358			b
txn_c_write_61	write	c	gmem_c	61	61	244	1	0	1	1363	1364	txn_a_read_61,txn_b_read_61	txn_a_read_61:llvm_def_use:ssa_value,txn_b_read_61:llvm_def_use:ssa_value	c
txn_a_read_62	read	a	gmem_a	48	63	192	1	0	16	1364	1365			a
txn_b_read_62	read	b	gmem_b	14	254	0	16	15	16	1364	1380			b
txn_c_write_62	write	c	gmem_c	62	62	248	1	0	1	1385	1386	txn_a_read_62,txn_b_read_62	txn_a_read_62:llvm_def_use:ssa_value,txn_b_read_62:llvm_def_use:ssa_value	c
txn_a_read_63	read	a	gmem_a	48	63	192	1	0	16	1386	1387			a
txn_b_read_63	read	b	gmem_b	15	255	0	16	15	16	1386	1402			b
txn_c_write_63	write	c	gmem_c	63	63	252	1	0	1	1407	1408	txn_a_read_63,txn_b_read_63	txn_a_read_63:llvm_def_use:ssa_value,txn_b_read_63:llvm_def_use:ssa_value	c
txn_a_read_64	read	a	gmem_a	64	79	256	1	0	16	1408	1409			a
txn_b_read_64	read	b	gmem_b	0	240	0	16	15	16	1408	1424			b
txn_c_write_64	write	c	gmem_c	64	64	256	1	0	1	1429	1430	txn_a_read_64,txn_b_read_64	txn_a_read_64:llvm_def_use:ssa_value,txn_b_read_64:llvm_def_use:ssa_value	c
